x1,y1,x2,y2,length
-122.5098505,37.96212411,-122.3089075,37.88561511,19602.50175
-122.2925458,37.8283571,-122.3058839,37.82549512,1216.47294
-122.2914119,37.82769108,-122.0985055,37.69024312,22840.54826
-122.0985055,37.69024312,-121.5616918,37.74267709,47687.00907
-121.5616918,37.74267709,-121.3426409,37.59782207,25138.89939
-118.1049897,33.9136901,-118.1023887,33.87625009,4159.82775
-118.0968537,33.9409331,-118.1049897,33.9136901,3114.05508
-118.0271757,34.03400209,-118.0968537,33.9409331,12166.44576
-118.1023887,33.87625009,-118.0918137,33.7839371,10285.98102
-118.0001127,34.06518708,-118.0271757,34.03400209,4267.25093
-117.9575697,34.13414507,-118.0001127,34.06518708,8597.68749
-118.1699697,34.0357751,-118.1729397,34.01642509,2163.8147
-118.1729397,34.01642509,-118.1796267,33.9118001,11621.63092
-118.2074457,33.82643508,-118.2077067,33.7826681,4854.64388
-118.1651907,34.06117309,-118.1699697,34.0357751,2851.57521
-118.1927668,33.8754221,-118.2074457,33.82643508,5600.87041
-118.1796267,33.9118001,-118.1927668,33.8754221,4214.15049
-122.2304277,38.0916341,-122.1290517,38.04827209,10114.25573
-116.1059367,32.64423111,-116.0311647,32.72569909,11436.7738
-117.2037478,32.7592961,-117.1633287,32.76235611,3802.61951
-114.2965947,32.67043909,-112.7485947,32.94311209,148098.6202
-112.7485947,32.94311209,-111.6811767,32.8163921,100872.038
-117.1633287,32.76235611,-117.1316577,32.7716261,3140.54263
-117.0031827,32.77717007,-116.8607487,32.85416509,15837.54632
-116.8607487,32.85416509,-116.6498247,32.83815408,19825.33725
-116.6498247,32.83815408,-116.5090467,32.81001109,13546.64814
-116.5090467,32.81001109,-116.4700587,32.7183641,10800.29088
-116.4700587,32.7183641,-116.1059367,32.64423111,35125.81113
-117.1127577,32.77862811,-117.0031827,32.77717007,10266.98888
-116.0311647,32.72569909,-114.8431197,32.7605291,111413.6402
-114.8431197,32.7605291,-114.2965947,32.67043909,52202.73162
-116.1059367,32.64423111,-116.0311647,32.72569909,11436.7738
-117.1316577,32.7716261,-117.1127577,32.77862811,1933.51629
-117.1316577,32.7716261,-117.1023627,32.7189581,6453.98256
-117.1781067,32.84785608,-117.1526457,32.80840911,4982.14127
-117.1526457,32.80840911,-117.1316577,32.7716261,4528.31823
-117.2236377,32.90353009,-117.1781067,32.84785608,7501.91826
-117.1023627,32.7189581,-117.0408838,32.54981209,19625.03087
-121.9016577,37.3641011,-121.9401957,37.31708508,6236.17111
-122.2794327,37.80053808,-122.1373587,37.69015309,17518.58104
-122.2925457,37.82835709,-122.2914117,37.82769109,124.22324
-122.0938887,37.64482008,-122.0384487,37.5633611,10281.36276
-122.0384487,37.5633611,-121.9162377,37.42554408,18728.67219
-121.9162377,37.42554408,-121.9016577,37.3641011,6940.38876
-122.1373587,37.69015309,-122.0938887,37.64482008,6326.55841
-122.2914117,37.82769109,-122.2804318,37.80271611,2935.80869
-122.2940127,37.8320471,-122.2925457,37.82835709,429.44551
-122.2681018,37.82457708,-122.2804318,37.80271611,2658.24145
-122.2804318,37.80271611,-122.2794327,37.80053808,257.25782
-122.4538437,37.4939081,-122.5172127,37.53241909,7046.73211
-122.5172127,37.53241909,-122.4717537,37.6788491,16740.49699
-118.2242037,34.05204709,-118.2139797,34.0551431,1004.47876
-121.6327557,36.81802608,-121.5804207,36.86211708,6762.61911
-118.2739287,34.0383131,-118.2487917,34.06276607,3569.83457
-118.2238708,34.0817561,-118.1550747,34.11919607,7585.98867
-118.2487917,34.06276607,-118.2238708,34.0817561,3119.10278
-118.8632307,34.28199708,-118.8512697,34.26661611,2030.81602
-118.8570477,34.2933281,-118.4722077,34.26577008,35568.0601
-118.4722077,34.26577008,-118.4436507,34.26661611,2631.64832
-118.4436507,34.26661611,-118.4073987,34.28854008,4130.14001
-121.3009347,37.79099811,-121.1874987,37.7820521,10041.38946
-117.0031827,32.77717007,-117.0039117,32.83662409,6593.86495
-117.0190047,32.74744311,-117.0031827,32.77717007,3614.75168
-122.2286727,37.84913809,-122.1783177,37.78389711,8490.87198
-118.3763127,34.15278408,-118.2892197,34.15536709,8036.62012
-118.2829378,34.15222608,-118.2263817,34.14626809,5257.46573
-118.2263817,34.14626809,-118.1556507,34.14974207,6534.48577
-118.1713737,35.04778008,-118.1108847,34.51152409,59747.47455
-118.1108847,34.51152409,-118.2811917,34.49295708,15775.6066
-118.2811917,34.49295708,-118.5087027,34.33391808,27362.96713
-118.1777277,35.06504209,-118.1713737,35.04778008,2000.87542
-121.5565077,37.00280509,-121.3986117,36.96077508,14811.54709
-121.3986117,36.96077508,-121.1307267,37.10486508,28701.85324
-121.1307267,37.10486508,-121.0163188,37.05704811,11473.77726
-120.6358257,37.05120711,-120.2061387,37.08221208,38368.28742
-121.7504037,38.01968809,-121.7538417,38.00503608,1654.11273
-117.1340607,32.84017007,-117.1526457,32.80840911,3928.78447
-117.1633287,32.76235611,-117.1526457,32.80840911,5204.43359
-117.1633287,32.76235611,-117.1553277,32.72382708,4338.16682
-117.1120197,32.85883608,-117.1143867,32.8533461,647.91038
-117.1340607,32.84017007,-117.1120197,32.85883608,2922.74927
-118.3773657,34.1544221,-118.3763127,34.15278408,206.01902
-118.4099097,34.23289311,-118.3773657,34.1544221,9206.85075
-118.2174897,34.20762111,-118.2263817,34.14626809,6854.81511
-118.2263817,34.14626809,-118.2497817,34.10232107,5331.36983
-118.0415037,33.77436109,-117.8762547,33.77893309,15314.72813
-117.8762547,33.77893309,-117.8312728,33.7767461,4173.49391
-118.8512697,34.26661611,-118.8593787,34.17608509,10070.03896
-118.8632307,34.28199708,-118.8570477,34.2933281,1379.83339
-122.0357848,37.4004791,-121.9162377,37.42554408,10942.75257
-122.0357848,37.4004791,-122.0279637,37.39890408,714.2247
-122.2286727,37.84913809,-122.0719197,37.8976391,14805.0487
-122.2681018,37.82457708,-122.2286727,37.84913809,4413.40671
-122.0525247,37.95910911,-122.0364328,38.00571107,5362.35342
-122.3935617,37.78439208,-122.3976387,37.77160311,1464.21208
-117.5321128,34.1064701,-117.7871997,34.11994311,23582.24615
